Baseline 100%T,,Baseline 0%T,,T015,,T025,,T050,,T075,,T100,,T125,,T150,,T175,,T200,,T225,,T250,,T275,,T300,,T325,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1000,122.5367889,1000,-0.08079449832,1000,0.1557409614,1000,0.1511363685,1000,0.1506812423,1000,0.1503885835,1000,0.1496196538,1000,0.1479996592,1000,0.1477459073,1000,0.1486360133,1000,0.1491494626,1000,0.14962852,1000,0.1496302485,1000,0.1488282681,1000,0.1491684765,1000,0.1473152936,
999.75,122.5733871,999.75,-0.0810239315,999.75,0.1556047052,999.75,0.1506025493,999.75,0.1509950161,999.75,0.1496167183,999.75,0.1491841823,999.75,0.1494814605,999.75,0.1491609961,999.75,0.1489335597,999.75,0.1490387917,999.75,0.1487624794,999.75,0.1499970555,999.75,0.1489343941,999.75,0.1486132741,999.75,0.1478508562,
999.5,122.5691528,999.5,-0.08091127127,999.5,0.1553705782,999.5,0.1513693631,999.5,0.1506813169,999.5,0.1502632201,999.5,0.1492094994,999.5,0.1483265162,999.5,0.1488033235,999.5,0.1490604728,999.5,0.1496296227,999.5,0.1495313942,999.5,0.1490463465,999.5,0.1496660411,999.5,0.1496933401,999.5,0.1473873109,
999.25,122.6514435,999.25,-0.08098401874,999.25,0.1562562138,999.25,0.1508428901,999.25,0.1510851532,999.25,0.1500487626,999.25,0.149370864,999.25,0.1498728245,999.25,0.1489961445,999.25,0.1491748393,999.25,0.1489068568,999.25,0.1495834887,999.25,0.1501205117,999.25,0.1490435749,999.25,0.1489157528,999.25,0.1482110322,
999,122.5711441,999,-0.08127626777,999,0.1553280056,999,0.1512382925,999,0.1507134289,999,0.1503084749,999,0.149116993,999,0.1484763622,999,0.1491858512,999,0.1490114033,999,0.1498265415,999,0.1492954642,999,0.1487868428,999,0.1495411396,999,0.1495281458,999,0.1475762427,
998.75,122.5633011,998.75,-0.0800280422,998.75,0.1563467681,998.75,0.1508477181,998.75,0.1507686228,998.75,0.1504069567,998.75,0.1495354176,998.75,0.1497705877,998.75,0.1485490948,998.75,0.1489546001,998.75,0.1486189216,998.75,0.1496378034,998.75,0.1501385123,998.75,0.149009034,998.75,0.148978129,998.75,0.1482206136,
998.5,122.5773087,998.5,-0.08033136278,998.5,0.1552565992,998.5,0.150774017,998.5,0.1506645828,998.5,0.1501816362,998.5,0.1489072591,998.5,0.1487996727,998.5,0.1492875516,998.5,0.1489613205,998.5,0.1494671553,998.5,0.1489156485,998.5,0.1486033946,998.5,0.1495745629,998.5,0.1489062011,998.5,0.1478697062,
998.25,122.4801865,998.25,-0.08084069937,998.25,0.1564279199,998.25,0.1508680135,998.25,0.1504229456,998.25,0.1508125514,998.25,0.1499848366,998.25,0.1491200924,998.25,0.148018077,998.25,0.1484800726,998.25,0.1487483382,998.25,0.1495719701,998.25,0.1501559466,998.25,0.1488002986,998.25,0.1491153836,998.25,0.1480443627,
998,122.5341797,998,-0.08065381646,998,0.1555083096,998,0.1502937227,998,0.1507571638,998,0.1500188857,998,0.1487894654,998,0.1490214616,998,0.148966819,998,0.148988381,998,0.1492770612,998,0.1487668157,998,0.1485037208,998,0.1499683112,998,0.1483634859,998,0.1482033134,
