Baseline 100%T,,Baseline 0%T,,T303,,T325,,T350,,T375,,T400,,T425,,T450,,T475,,T500,,T525,,T525rescan,,T550,,T575,,T600,,T625,,T650,,T675,,T700,,T725,,TEST100,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1000,121.3291016,1000,-0.09027595073,1000,0.1540701985,1000,0.1529513299,1000,0.1524231136,1000,0.1501942575,1000,0.1524968445,1000,0.1515278965,1000,0.1527026594,1000,0.1525420398,1000,0.1481900662,1000,0.1169547588,1000,0.1099348292,1000,0.06611577421,1000,0.0600230135,1000,-37.05815506,1000,-37.05815506,1000,-37.05815506,1000,-37.05815506,1000,-37.05815506,1000,-37.05815506,1000,0.1600403637,
999.75,121.3082047,999.75,-0.0904995203,999.75,0.1529618651,999.75,0.1526343673,999.75,0.1524828672,999.75,0.1502537429,999.75,0.1517878771,999.75,0.1517592371,999.75,0.1522994787,999.75,0.1522012651,999.75,0.1482687593,999.75,0.09220073372,999.75,0.0985270068,999.75,0.1196828932,999.75,0.1458070576,999.75,-37.05823135,999.75,-37.05823135,999.75,-37.05823135,999.75,-37.05823135,999.75,-37.05823135,999.75,-37.05823135,999.75,0.1607241929,
999.5,121.2238464,999.5,-0.09017100185,999.5,0.153989926,999.5,0.1526105255,999.5,0.1512487829,999.5,0.1518104523,999.5,0.1503501832,999.5,0.1526878625,999.5,0.1517910361,999.5,0.1513706446,999.5,0.1513194442,999.5,0.1156441644,999.5,0.1146816164,999.5,0.1459353715,999.5,0.1235546991,999.5,-37.05853271,999.5,-37.05853271,999.5,-37.05853271,999.5,-37.05853271,999.5,-37.05853271,999.5,-37.05853271,999.5,0.1584968269,
999.25,121.2235794,999.25,-0.0903596133,999.25,0.1529501975,999.25,0.1526089162,999.25,0.1522765458,999.25,0.1499085724,999.25,0.1519599557,999.25,0.1513575613,999.25,0.1519751698,999.25,0.1520376503,999.25,0.1470052749,999.25,0.1136720926,999.25,0.1121677756,999.25,0.07865322381,999.25,0.2116067111,999.25,-37.05853271,999.25,-37.05853271,999.25,-37.05853271,999.25,-37.05853271,999.25,-37.05853271,999.25,-37.05853271,999.25,0.1604091823,
999,121.1132278,999,-0.08951472491,999,0.1535531133,999,0.1522753984,999,0.1508585662,999,0.1520615965,999,0.1499252766,999,0.152449742,999,0.1511785686,999,0.1508306414,999,0.1508173048,999,0.09441122413,999,0.09752795845,999,-0.00753352046,999,0.06985260546,999,-37.05893326,999,-37.05893326,999,-37.05893326,999,-37.05893326,999,-37.05893326,999,-37.05893326,999,0.158480987,
998.75,121.0790482,998.75,-0.09024527669,998.75,0.1528771669,998.75,0.1524060518,998.75,0.1519730687,998.75,0.1498012245,998.75,0.1521593034,998.75,0.1508278698,998.75,0.1514265239,998.75,0.1517850459,998.75,0.1458635479,998.75,0.1060855314,998.75,0.1204514205,998.75,0.1348744631,998.75,0.2472715378,998.75,-37.05905151,998.75,-37.05905151,998.75,-37.05905151,998.75,-37.05905151,998.75,-37.05905151,998.75,-37.05905151,998.75,0.1601032615,
998.5,121.0778122,998.5,-0.0906958729,998.5,0.1533851177,998.5,0.1521879584,998.5,0.1506385356,998.5,0.1519337744,998.5,0.1497722417,998.5,0.1521948427,998.5,0.1507814527,998.5,0.1505426466,998.5,0.1501941383,998.5,0.09565780312,998.5,0.1085464954,998.5,-0.08295238763,998.5,0.02807389945,998.5,-37.05905533,998.5,-37.05905533,998.5,-37.05905533,998.5,-37.05905533,998.5,-37.05905533,998.5,-37.05905533,998.5,0.1582140326,
998.25,121.0277939,998.25,-0.09022811055,998.25,0.1534013301,998.25,0.1525000781,998.25,0.1518152654,998.25,0.1497320086,998.25,0.1523832232,998.25,0.1503493488,998.25,0.1514041722,998.25,0.1516941786,998.25,0.1454109848,998.25,0.112506941,998.25,0.1085939929,998.25,0.04527309909,998.25,0.1722048223,998.25,-37.05923462,998.25,-37.05923462,998.25,-37.05923462,998.25,-37.05923462,998.25,-37.05923462,998.25,-37.05923462,998.25,0.1601454914,
998,121.0682068,998,-0.08997008204,998,0.1534622908,998,0.1523134112,998,0.1506805122,998,0.1522299349,998,0.1499257535,998,0.1520452201,998,0.1504901797,998,0.1503203958,998,0.1502292603,998,0.1062410846,998,0.1088949218,998,-0.1259729266,998,0.1339300722,998,-37.05909348,998,-37.05909348,998,-37.05909348,998,-37.05909348,998,-37.05909348,998,-37.05909348,998,0.1584567577,
